strategy,matching_method,bin,count,A@5m,A@10m,A@20m,mean_error,median_error
Inliners,Roma,0-30m,0,,,,,
Inliners,Roma,30-100m,48,18.8,29.2,29.2,353.3,237.1
Inliners,Roma,100-200m,439,86.1,92.5,93.6,51.5,2.2
Inliners,Roma,200-300m,0,,,,,
Inliners,Roma,300m+,0,,,,,
Top1,Roma,0-30m,0,,,,,
Top1,Roma,30-100m,48,20.8,41.7,60.4,102.1,12.5
Top1,Roma,100-200m,439,74.0,82.2,84.3,32.9,2.6
Top1,Roma,200-300m,0,,,,,
Top1,Roma,300m+,0,,,,,
TopN_Re-rank,Roma,0-30m,0,,,,,
TopN_Re-rank,Roma,30-100m,98,17.3,35.7,52.0,208.6,14.0
TopN_Re-rank,Roma,100-200m,901,52.4,68.9,83.4,46.7,4.5
TopN_Re-rank,Roma,200-300m,0,,,,,
TopN_Re-rank,Roma,300m+,0,,,,,
TopN_Re-rank,SIFT,0-30m,0,,,,,
TopN_Re-rank,SIFT,30-100m,48,10.4,10.4,14.6,85632.9,111.3
TopN_Re-rank,SIFT,100-200m,439,33.5,38.7,41.9,409.7,46.1
TopN_Re-rank,SIFT,200-300m,0,,,,,
TopN_Re-rank,SIFT,300m+,0,,,,,
