strategy,matching_method,bin,count,A@5m,A@10m,A@20m,mean_error,median_error
Inliners,Roma,70-90°(正下视),164,93.9,98.2,98.2,7.9,2.4
Inliners,Roma,50-70°(过渡),22,50.0,72.7,77.3,150.0,4.8
Inliners,Roma,20-50°(倾斜),301,73.8,80.7,82.1,116.1,2.2
Inliners,Roma,0-20°(近水平),0,,,,,
Top1,Roma,70-90°(正下视),164,73.2,81.7,82.3,34.6,2.8
Top1,Roma,50-70°(过渡),22,27.3,36.4,36.4,112.5,50.2
Top1,Roma,20-50°(倾斜),301,69.4,79.4,85.0,37.2,2.4
Top1,Roma,0-20°(近水平),0,,,,,
TopN_Re-rank,Roma,70-90°(正下视),337,51.9,70.0,83.4,32.1,4.5
TopN_Re-rank,Roma,50-70°(过渡),44,34.1,54.5,68.2,45.1,9.4
TopN_Re-rank,Roma,20-50°(倾斜),618,48.4,64.1,79.4,80.4,5.4
TopN_Re-rank,Roma,0-20°(近水平),0,,,,,
TopN_Re-rank,SIFT,70-90°(正下视),164,19.5,19.5,25.6,616.0,59.4
TopN_Re-rank,SIFT,50-70°(过渡),22,0.0,0.0,4.5,924.9,132.5
TopN_Re-rank,SIFT,20-50°(倾斜),301,39.9,47.5,49.2,13852.1,29.2
TopN_Re-rank,SIFT,0-20°(近水平),0,,,,,
